"Jahr";"Ebene";"kkname";"kkkoe";"kgname";"kgkoe";"ggfest";"dggfest";"gg";"dgg";"ggfr";"gg13";"gg14";"gg15";"ggzug";"gebu";"einwohn"
2014;"Landeskirche";"Summe";;"Summe";;2349196;;2346664;;1284948;21171;23482;24700;25242;22205;7823330
2014;"Kirchenkreise";"Bielefeld";"19022";"Summe";;100137;;99670;;55901;752;883;955;3211;732;254395
2014;"Kirchenkreise";"Bochum";"19023";"Summe";;92693;;92580;;51919;686;779;847;1406;863;301962
2014;"Kirchenkreise";"Dortmund";"19025";"Summe";;212615;;212232;;118120;1538;1795;1916;1938;1941;694998
2014;"Kirchenkreise";"Gelsenkirchen und Wattenscheid";"19030";"Summe";;90682;;90679;;50146;650;748;807;914;631;316990
2014;"Kirchenkreise";"Gladbeck-Bottrop-Dorsten";"19031";"Summe";;61353;;61299;;34090;525;590;620;243;610;265542
2014;"Kirchenkreise";"Gütersloh";"19032";"Summe";;105370;;105049;;57489;1025;1112;1205;366;1089;415761
2014;"Kirchenkreise";"Hagen";"19033";"Summe";;72606;;72606;;40749;613;682;705;1343;613;207002
2014;"Kirchenkreise";"Halle";"19034";"Summe";;47418;;47267;;25452;527;566;631;159;393;103873
2014;"Kirchenkreise";"Hamm";"19035";"Summe";;83843;;83843;;45687;763;932;977;516;852;294703
2014;"Kirchenkreise";"Hattingen-Witten";"19036";"Summe";;67348;;67348;;38389;586;618;684;1901;592;171306
2014;"Kirchenkreise";"Herford";"19037";"Summe";;117877;;117877;;64296;1142;1274;1357;1085;943;215101
2014;"Kirchenkreise";"Herne";"19038";"Summe";;68693;;68514;;38175;573;596;613;1605;548;221524
2014;"Kirchenkreise";"Iserlohn";"19039";"Summe";;98270;;98270;;54142;946;1047;1045;1008;904;292103
2014;"Kirchenkreise";"Lübbecke";"19040";"Summe";;64261;;64197;;34019;671;729;718;605;504;104382
2014;"Kirchenkreise";"Lüdenscheid-Plettenberg";"19041";"Summe";;86926;;86926;;47447;758;829;941;1857;738;277849
2014;"Kirchenkreise";"Minden";"19042";"Summe";;79364;;79239;;42847;721;843;876;885;613;140408
2014;"Kirchenkreise";"Münster";"19043";"Summe";;107213;;107154;;58899;1021;1090;1149;979;1504;545402
2014;"Kirchenkreise";"Paderborn";"19044";"Summe";;81737;;81737;;43667;810;919;878;443;1145;446668
2014;"Kirchenkreise";"Recklinghausen";"19046";"Summe";;106792;;106696;;58975;873;1044;1037;333;1007;390049
2014;"Kirchenkreise";"Schwelm";"19047";"Summe";;42842;;42842;;24270;366;400;447;210;354;101328
2014;"Kirchenkreise";"Siegen";"19048";"Summe";;122805;;122795;;65215;990;1145;1243;647;1117;293597
2014;"Kirchenkreise";"Steinfurt-Coesfeld-Borken";"19050";"Summe";;85366;;85354;;45905;1006;1024;1037;130;1098;622693
2014;"Kirchenkreise";"Tecklenburg";"19051";"Summe";;76638;;76345;;40524;866;888;918;156;818;267098
2014;"Kirchenkreise";"Unna";"19052";"Summe";;77312;;77228;;42206;766;838;873;553;688;188222
