"kgkoe";"ggfest";"dggfest"
"1902201";2.798;-2,71
"1902201";2.790;-0,29
"1902201";2.831;1,47
"1902201";2.763;-2,40
"1902201";2.605;-5,72
"1902201";2.533;-2,76
"1902201";2.463;-2,76
"1902202";2.801;-3,41
"1902202";2.748;-1,89
"1902202";2.697;-1,86
"1902202";2.575;-4,52
"1902202";2.505;-2,72
"1902202";2.388;-4,67
"1902202";2.296;-3,85
"1902208";2.378;-3,29
"1902208";2.336;-1,77
"1902208";2.248;-3,77
"1902208";2.180;-3,02
"1902208";2.151;-1,33
"1902208";2.053;-4,56
"1902208";1.978;-3,65
"1902210";6.667;-1,23
"1902210";6.579;-1,32
"1902210";6.483;-1,46
"1902210";6.377;-1,64
"1902210";6.136;-3,78
"1902210";5.993;-2,33
"1902210";5.802;-3,19
"1902213";4.461;-2,64
"1902213";4.314;-3,30
"1902213";4.290;-0,56
"1902213";4.167;-2,87
"1902213";4.072;-2,28
"1902213";3.954;-2,90
"1902213";3.854;-2,53
"1902214";2.826;-2,25
"1902214";2.789;-1,31
"1902214";2.815;0,93
"1902214";2.778;-1,31
"1902214";2.730;-1,73
"1902214";2.690;-1,47
"1902214";2.631;-2,19
"1902218";3.654;-1,40
"1902218";3.626;-0,77
"1902218";3.639;0,36
"1902218";3.550;-2,45
"1902218";3.394;-4,39
"1902218";3.311;-2,45
"1902218";3.195;-3,50
"1902219";3.319;-2,50
"1902219";3.252;-2,02
"1902219";3.188;-1,97
"1902219";3.086;-3,20
"1902219";2.961;-4,05
"1902219";2.865;-3,24
"1902219";2.733;-4,61
"1902221";6.135;-3,11
"1902221";6.009;-2,05
"1902221";5.850;-2,65
"1902221";5.622;-3,90
"1902221";5.403;-3,90
"1902221";5.199;-3,78
"1902221";4.990;-4,02
"1902222";6.760;-1,37
"1902222";6.634;-1,86
"1902222";6.539;-1,43
"1902222";6.421;-1,80
"1902222";6.267;-2,40
"1902222";6.084;-2,92
"1902222";5.921;-2,68
"1902225";1.744;-1,08
"1902225";1.742;-0,11
"1902225";1.674;-3,90
"1902225";1.777;6,15
"1902225";1.772;-0,28
"1902225";1.763;-0,51
"1902225";1.723;-2,27
"1902226";4.026;-2,42
"1902226";3.917;-2,71
"1902226";3.840;-1,97
"1902226";3.724;-3,02
"1902226";3.598;-3,38
"1902226";3.504;-2,61
"1902226";3.373;-3,74
"1902227";1.940;-1,02
"1902227";1.912;-1,44
"1902227";1.893;-0,99
"1902227";1.854;-2,06
"1902227";1.890;1,94
"1902227";1.842;-2,54
"1902227";1.799;-2,33
"1902231";1.785;-1,76
"1902231";1.778;-0,39
"1902231";1.751;-1,52
"1902231";1.716;-2,00
"1902231";1.674;-2,45
"1902231";1.608;-3,94
"1902231";1.588;-1,24
"1902236";3.297;-2,11
"1902236";3.251;-1,40
"1902236";3.167;-2,58
"1902236";3.105;-1,96
"1902236";3.055;-1,61
"1902236";2.980;-2,45
"1902236";2.898;-2,75
"1902238";1.185;-2,47
"1902238";1.147;-3,21
"1902238";1.157;0,87
"1902238";1.129;-2,42
"1902238";1.136;0,62
"1902238";1.096;-3,52
"1902238";1.060;-3,28
"1902239";3.455;-2,29
"1902239";3.358;-2,81
"1902239";3.172;-5,54
"1902239";3.197;0,79
"1902239";3.117;-2,50
"1902239";2.980;-4,40
"1902239";2.930;-1,68
"1902242";10.685;-2,45
"1902242";10.594;-0,85
"1902242";10.370;-2,11
"1902242";10.150;-2,12
"1902242";9.935;-2,12
"1902242";9.814;-1,22
"1902242";9.657;-1,60
"1902243";4.091;-2,27
"1902243";3.955;-3,32
"1902243";3.858;-2,45
"1902243";3.720;-3,58
"1902243";3.605;-3,09
"1902243";3.409;-5,44
"1902243";3.332;-2,26
"1902249";10.087;-2,99
"1902249";9.871;-2,14
"1902249";9.581;-2,94
"1902249";9.211;-3,86
"1902249";8.909;-3,28
"1902249";8.584;-3,65
"1902249";8.315;-3,13
"1902254";8.265;-2,32
"1902254";8.012;-3,06
"1902254";8.200;2,35
"1902254";7.707;-6,01
"1902254";7.500;-2,69
"1902254";7.199;-4,01
"1902254";7.013;-2,58
"1902266";3.501;-2,32
"1902266";3.501;0,00
"1902266";3.489;-0,34
"1902266";3.342;-4,21
"1902266";3.277;-1,94
"1902266";3.200;-2,35
"1902266";3.071;-4,03
"1902281";2.189;8,58
"1902281";2.199;0,46
"1902281";2.320;5,50
"1902281";2.278;-1,81
"1902281";2.360;3,60
"1902281";2.352;-0,34
"1902281";2.325;-1,15
"1902308";4.768;-2,67
"1902308";4.690;-1,64
"1902308";4.605;-1,81
"1902308";4.504;-2,19
"1902308";4.405;-2,20
"1902308";4.307;-2,22
"1902308";4.174;-3,09
"1902309";4.273;-1,29
"1902309";4.205;-1,59
"1902309";4.177;-0,67
"1902309";4.111;-1,58
"1902309";4.035;-1,85
"1902309";3.912;-3,05
"1902309";3.862;-1,28
"1902312";4.510;-1,40
"1902312";4.412;-2,17
"1902312";4.315;-2,20
"1902312";4.223;-2,13
"1902312";4.162;-1,44
"1902312";4.134;-0,67
"1902312";4.002;-3,19
"1902314";4.880;-3,40
"1902314";4.757;-2,52
"1902314";4.702;-1,16
"1902314";4.598;-2,21
"1902314";4.517;-1,76
"1902314";4.396;-2,68
"1902314";4.207;-4,30
"1902316";10.109;-2,39
"1902316";9.872;-2,34
"1902316";9.828;-0,45
"1902316";9.561;-2,72
"1902316";9.298;-2,75
